"run","all_cause_isolation","susceptibility","handHygieneIntervention","importationSurge","decayRate","ppeIsolationAdherenceProb","timeBetweenContamPulse","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","patientContamPerPulse","treatmentDuration","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","nearZoneContamPerPulse","ppeEfficacy","transferFractionRandom","isolateOnSuspicion","extra_samples","randomSeed","postVisitCleaning","farContamPerPulse","surveillanceSpecificity","decayRandom"
321,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,550359791,0,8000,0.7,0
331,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,550717955,0,8250,0.7,0
341,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,551076586,0,8500,0.7,0
351,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,551437681,0,8750,0.7,0
361,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,551795424,0,9000,0.7,0
371,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,552149377,0,9250,0.7,0
381,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,552493880,0,9500,0.7,0
391,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,552850720,0,9750,0.7,0
401,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,553208645,0,10000,0.7,0
10,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,539796626,0,225,0.7,0
20,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540023633,0,475,0.7,0
30,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540364632,0,725,0.7,0
40,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540712401,0,975,0.7,0
50,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541062511,0,1225,0.7,0
60,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541391979,0,1475,0.7,0
70,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541730116,0,1725,0.7,0
80,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542064999,0,1975,0.7,0
90,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542395212,0,2225,0.7,0
100,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542725422,0,2475,0.7,0
